Date,country,activity
2002,Argentina,NA
2002,Bolivia,0.101
2002,Brazil,0.073
2002,India,0.062
2002,Indonesia,0.101
2002,Mexico,NA
2002,Philippines,NA
2002,Singapore,0.059
2002,Thailand,NA
2002,Venezuela,NA
2003,Argentina,NA
2003,Bolivia,0.143
2003,Brazil,0.098
2003,India,0.047
2003,Indonesia,0.039
2003,Mexico,NA
2003,Philippines,NA
2003,Singapore,0.059
2003,Thailand,NA
2003,Venezuela,NA
2003,Argentina,NA
2003,Bolivia,0.176
2003,Brazil,0.119
2003,India,0.051
2003,Indonesia,0.059
2003,Mexico,0.071
2003,Philippines,NA
2003,Singapore,0.238
2003,Thailand,NA
2003,Venezuela,NA
2003,Argentina,NA
2003,Bolivia,0.173
2003,Brazil,0.17
2003,India,0.032
2003,Indonesia,0.039
2003,Mexico,0.052
2003,Philippines,NA
2003,Singapore,0.175
2003,Thailand,NA
2003,Venezuela,NA
2003,Argentina,NA
2003,Bolivia,0.146
2003,Brazil,0.138
2003,India,0.04
2003,Indonesia,0.112
2003,Mexico,0.048
2003,Philippines,NA
2003,Singapore,0.164
2003,Thailand,NA
2003,Venezuela,NA
2003,Argentina,NA
2003,Bolivia,0.16
2003,Brazil,0.202
2003,India,0.038
2003,Indonesia,0.049
2003,Mexico,0.041
2003,Philippines,NA
2003,Singapore,0.163
2003,Thailand,NA
2003,Venezuela,NA
2003,Argentina,NA
2003,Bolivia,0.225
2003,Brazil,0.179
2003,India,0.019
2003,Indonesia,0.06
2003,Mexico,0.042
2003,Philippines,NA
2003,Singapore,0.15
2003,Thailand,NA
2003,Venezuela,NA
2003,Argentina,0.046
2003,Bolivia,0.109
2003,Brazil,0.239
2003,India,0.008
2003,Indonesia,0.039
2003,Mexico,0.049
2003,Philippines,NA
2003,Singapore,0.144
2003,Thailand,NA
2003,Venezuela,0.139
2003,Argentina,0.048
2003,Bolivia,0.147
2003,Brazil,0.205
2003,India,0.022
2003,Indonesia,0.078
2003,Mexico,0.054
2003,Philippines,NA
2003,Singapore,0.142
2003,Thailand,NA
2003,Venezuela,0.137
2003,Argentina,0.051
2003,Bolivia,0.119
2003,Brazil,0.142
2003,India,0.028
2003,Indonesia,0.048
2003,Mexico,0.075
2003,Philippines,NA
2003,Singapore,0.129
2003,Thailand,NA
2003,Venezuela,0.168
2003,Argentina,0.051
2003,Bolivia,0.195
2003,Brazil,0.28
2003,India,0.003
2003,Indonesia,0.089
2003,Mexico,0.096
