Date,country,cases
2002,Argentina,NA
2002,Australia,NA
2002,Austria,NA
2002,Belgium,NA
2002,Bolivia,NA
2002,Brazil,174
2002,Bulgaria,NA
2002,Canada,NA
2002,Chile,NA
2002,France,NA
2002,Germany,NA
2002,Hungary,NA
2002,Japan,NA
2002,Mexico,NA
2002,Netherlands,NA
2002,New Zealand,NA
2002,Norway,NA
2002,Paraguay,NA
2002,Peru,329
2002,Poland,NA
2002,Romania,NA
2002,Russia,NA
2002,South Africa,NA
2002,Spain,NA
2002,Sweden,NA
2002,Switzerland,NA
2002,Ukraine,NA
2002,United States,NA
2002,Uruguay,NA
2003,Argentina,NA
2003,Australia,NA
2003,Austria,NA
2003,Belgium,NA
2003,Bolivia,NA
2003,Brazil,162
2003,Bulgaria,NA
2003,Canada,NA
2003,Chile,NA
2003,France,NA
2003,Germany,NA
2003,Hungary,NA
2003,Japan,NA
2003,Mexico,NA
2003,Netherlands,NA
2003,New Zealand,NA
2003,Norway,NA
2003,Paraguay,NA
2003,Peru,315
2003,Poland,NA
2003,Romania,NA
2003,Russia,NA
2003,South Africa,NA
2003,Spain,NA
2003,Sweden,NA
2003,Switzerland,NA
2003,Ukraine,NA
2003,United States,NA
2003,Uruguay,NA
2003,Argentina,NA
2003,Australia,NA
2003,Austria,NA
2003,Belgium,NA
2003,Bolivia,NA
2003,Brazil,174
2003,Bulgaria,NA
2003,Canada,NA
2003,Chile,1
2003,France,NA
2003,Germany,NA
2003,Hungary,NA
2003,Japan,NA
2003,Mexico,NA
2003,Netherlands,NA
2003,New Zealand,NA
2003,Norway,NA
2003,Paraguay,NA
2003,Peru,314
2003,Poland,NA
2003,Romania,NA
2003,Russia,NA
2003,South Africa,NA
2003,Spain,NA
2003,Sweden,NA
2003,Switzerland,NA
2003,Ukraine,NA
2003,United States,NA
2003,Uruguay,NA
2003,Argentina,NA
2003,Australia,NA
2003,Austria,NA
2003,Belgium,NA
2003,Bolivia,NA
2003,Brazil,162
2003,Bulgaria,NA
2003,Canada,NA
2003,Chile,0
2003,France,NA
2003,Germany,NA
2003,Hungary,NA
2003,Japan,NA
2003,Mexico,NA
2003,Netherlands,NA
2003,New Zealand,NA
2003,Norway,NA
2003,Paraguay,NA
2003,Peru,267
2003,Poland,NA
2003,Romania,NA
2003,Russia,NA
2003,South Africa,NA
2003,Spain,NA
2003,Sweden,NA
2003,Switzerland,NA
2003,Ukraine,NA
2003,United States,NA
2003,Uruguay,NA
2003,Argentina,NA
2003,Australia,NA
2003,Austria,NA
2003,Belgium,NA
2003,Bolivia,NA
2003,Brazil,131
2003,Bulgaria,NA
2003,Canada,NA
2003,Chile,0
2003,France,NA
2003,Germany,NA
2003,Hungary,NA
2003,Japan,NA
2003,Mexico,NA
2003,Netherlands,NA
2003,New Zealand,NA
2003,Norway,NA
2003,Paraguay,NA
2003,Peru,241
2003,Poland,NA
2003,Romania,NA
2003,Russia,NA
