number;name;amount;amount %;sample_name;total_volume
1;Campylobacter coli;1;5;HU_MOCK1;20
2;Campylobacter jejuni;1;5;HU1_MOCK1;20
3;Citrobacter freundii;1;5;HU1_MOCK1;20
4;Enterococcus casseliflavus;0,4;2;HU1_MOCK1;20
5;Enterococcus durans;0,7;3,5;HU1_MOCK1;20
6;Enterococcus hirae;0,3;1,5;HU1_MOCK1;20
7;Klebsiella pneumoniae;0,5;2,5;HU1_MOCK1;20
8;Klebsiella oxytoca;2;10;HU1_MOCK1;20
9;Yersinia kristensenii;1;5;HU1_MOCK1;20
10;Legionella bozemanii;2;10;HU1_MOCK1;20
11;Legionella jordanis;0,5;2,5;HU1_MOCK1;20
12;Legionella lansingensis;0,6;3;HU1_MOCK1;20
13;Legionella longbeachae;1,2;6;HU1_MOCK1;20
14;Legionella paisiensis;1,5;7,5;HU1_MOCK1;20
15;Legionella pneumophila;2;10;HU1_MOCK1;20
16;Escherichia coli;1,5;7,5;HU1_MOCK1;20
17;Salmonella hyphia;1;5;HU1_MOCK1;20
18;Shigella flexneri;0,8;4;HU1_MOCK1;20
19;Streptococcus pyogenes;0,5;2,5;HU1_MOCK1;20
20;Staphyloccocus epidermidis;0,5;2,5;HU1_MOCK1;20
